slug,name,handle,youtubeChannelId,country,category,niche
mrbeast,MrBeast,@MrBeast,UCX6OQ3DkcsbYNE6H8uQQuVA,United States,Entertainment,entertainment
markiplier,Markiplier,@markiplier,UC7_YxT-KID8kRbqZo7MyscQ,United States,Gaming,gaming
ishowspeed,IShowSpeed,@IShowSpeed,UCWsDFcIhY2DBi3GB5uykGXA,United States,Entertainment,entertainment
coryxkenshin,CoryxKenshin,@CoryxKenshin,UCpB959t8iPrxQWj7G6n0ctQ,United States,Gaming,gaming
loganpaul,Logan Paul,@LoganPaulVlogs,UCG8rbF3g2AMX70yOd8vqIZg,United States,Entertainment,entertainment
jakepaul,Jake Paul,@JakePaul,UCcgVECVN4OKV6DH1jLkqmcA,United States,Entertainment,entertainment
joerogan,Joe Rogan,@joerogan,UCzQUP1qoWDoEbmsQxvdjxgQ,United States,Podcast,news
pewdiepie,PewDiePie,@PewDiePie,UC-lHJZR3Gqxm24_Vd_AJ5Yw,Japan,Gaming,gaming
carryminati,CarryMinati,@CarryMinati,UCj22tfcQrWMFIGCeyKP9hQg,India,Comedy,entertainment
techburner,Tech Burner,@TechBurner,UCbqKJy3U8sNtbJYjxBP3LZg,India,Technology,tech
ashishchanchlani,Ashish Chanchlani,@ashishchanchlanivines,UCMwKavFBXaEW6FVUiRF9Kdw,India,Comedy,entertainment
bbkivines,BB Ki Vines,@BBKiVines,UCqwUrj10mAEsqezcItqvwEw,India,Comedy,entertainment
triggeredinsaan,Triggered Insaan,@TriggeredInsaan,UCqEt2weBhiTlHSqdN-HMbXA,India,Comedy,entertainment
totalgaming,Total Gaming,@TotalGaming093,UCnJ8-gGDIbz8B2z0jPr8lUg,India,Gaming,gaming
round2hell,Round2Hell,@Round2hell,UCbsIQsLJGEPVb1sG0LMBFcQ,India,Comedy,entertainment
samayraina,Samay Raina,@SamayRainaOfficial,UCuyS_bMHAa9S8GCOp2Q4Mig,India,Comedy,entertainment
sandeepmaheshwari,Sandeep Maheshwari,@SandeepSeminars,UCRlICXvO4XR4HMeEB9JjDlA,India,Education,education
dhruvrathee,Dhruv Rathee,@dhruvrathee,UCBDuTFk0h3K7gP66o_CVe8A,India,Education,education
mythpat,Mythpat,@Mythpat,UCx6F-rETGiz7xf_vkMmX2yQ,India,Gaming,gaming
slayypointofficial,Slayy Point,@SlayyPointOfficial,UCtgGOdTlM-NdJ9rPKIYN8UQ,India,Comedy,entertainment
flying-beast,Flying Beast,@FlyingBeast320,UCNSdjX4ry9fICqeObdZPAZQ,India,Entertainment,lifestyle
ksi,KSI,@KSI,UCGSfMkBdr4YjBKGRhKKbEgQ,United Kingdom,Entertainment,entertainment
sidemen,Sidemen,@Sidemen,UCDogdKl7t7NHzQ95aEwkdMw,United Kingdom,Entertainment,entertainment
